YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TOTAL
1931,4.37,2.41,2.71,4.28,3.95,4.38,3.85,2.14,0.09,1.02,2.57,3.3,35.07
1932,2.51,2.59,3.74,3.95,3.89,1.61,9.01,2.71,7.44,0.06,0.67,3.35,41.53
1933,2.87,1.97,0.81,0.54,4.84,0.37,0.98,2.16,2.81,0.47,0.85,0.47,19.14
1934,5.7,1.15,1.88,2.32,3.49,0.15,2.56,0.06,3.71,0.23,0.93,2.04,24.22
1935,1.1,2.84,0.31,1.36,12.82,11.04,1.84,0.11,8.73,2.48,0.75,5.91,49.29
1936,0.4,0.55,0.96,2.81,5.03,4.08,4.2,1.71,19.94,3.95,2.28,1.77,47.68
1937,1.23,0.1,2.15,0.21,2.62,6.05,1.58,0.03,3.61,2.48,1.97,5.07,27.1
1938,2.77,2.47,1.5,4.91,2.77,0.4,2.21,0.8,1.36,0.03,0.72,1.01,20.95
1939,3.88,1.89,1.46,0.81,2.89,1.49,5.29,1.07,0.98,4.28,2.96,1.42,28.42
1940,0.8,3.23,2.33,4.47,5.34,6.62,1.41,3.02,1.34,2.31,3.1,5.17,39.14
1941,0.66,5.86,4.27,5.16,2.46,1.99,1.81,3.15,7.1,6.02,0.71,0.47,39.66
1942,0.13,1.3,0.66,6.86,4.09,0.63,0.66,1.61,4.15,6.95,0.62,1.5,29.16
1943,0.39,0.12,1.97,2.01,3.98,3.44,2.32,0.01,4.04,0.66,0.96,1.48,21.38
1944,2.98,3.2,2.68,0.66,9.71,1.77,0.35,4.56,3.29,1.43,2.64,3.6,36.87
1945,2.81,3.1,6.12,2.08,1.77,2.7,1.01,1.82,4.95,4.09,0.71,2.73,33.89
1946,2.72,1.68,0.8,3.34,4.52,3.61,0.25,1.44,5.91,4.53,3.53,2.15,34.48
1947,3.77,0.33,2.2,2.82,3.29,5.32,0.39,3.43,0.26,1.65,2.5,1.23,27.19
1948,2.12,2.06,0.97,2.7,1.69,4.23,3.36,0.7,3.68,1.88,0.85,1.31,25.55
1949,3.64,3.94,2.31,5.27,3.12,4.14,4.16,4.1,5.45,2.63,1.38,1.68,41.82
1950,0.64,2.22,0.44,3.25,3.36,3.81,2.88,3.52,2.03,0.1,0.45,0,22.7
1951,0.11,1.34,3.35,1.43,6.65,1.85,0.05,0.06,0.69,0.98,0.64,1,18.15
1952,0.28,1.65,3.26,7.02,6.25,1.6,2.25,0.05,10.13,0,2.71,5.71,40.91
1953,0.1,1.8,3.22,1.37,1.2,0.05,2.5,2.12,4.86,7.29,0.96,0.89,26.36
1954,0.68,0.16,0.64,2.66,3.03,1.85,0.2,0.35,0.78,3.08,0.96,0.25,14.64
1955,2.2,1.93,0.24,0.45,5.71,2.25,7.03,1.36,3.84,1.88,0.78,1.23,28.9
1956,0.71,1.61,0.2,1.73,1.2,0.45,0.88,1.45,0.69,1.65,1.22,2.25,14.04
1957,0.77,2.41,4.47,11.62,8.77,1.95,0.1,0.52,6.57,11.83,5.27,0.81,55.09
1958,4.19,4.59,2.52,1.1,2.52,5.78,1.37,1.48,6.84,4.81,0.83,0.68,36.71
1959,1.17,1.58,0,3.76,3.12,5.3,1.3,2.93,0.86,5.92,1,2.36,29.3
1960,1.76,1.9,2.51,1.07,1.67,0.83,3.9,7.03,0.47,9.6,1.35,4.98,37.07
1961,2.04,4.61,0.78,0.33,0.71,5.99,2.64,2.4,1.73,1.66,2.02,1.72,26.63
1962,0.54,0.44,0.95,3.42,2.41,1.57,0.04,0.84,1.77,2.33,1.2,1.62,17.13
1963,0.25,1.4,0.46,2.05,2.94,1.61,0.41,1.23,3.54,1.53,4.66,1.26,21.34
1964,3.25,1.68,2.93,2.72,1.41,1.67,1.93,2.66,8.68,2.14,1.82,0.96,31.85
1965,0.72,6.32,2.31,3.4,8.66,8.63,0.75,0.34,3.34,2.51,1.75,2.13,40.86
1966,1.58,2.01,1.72,4.4,5.9,0.58,2.15,5.24,3.61,0.24,0,0.19,27.62
1967,0.44,1.28,0.31,1.44,1.4,0.06,0.66,2.17,10.46,5.99,2.44,1.19,27.84
1968,7.65,1.73,2.8,3.4,2.75,1.92,3.06,0.54,4.6,0.63,2.98,1.27,33.33
1969,0.58,2.07,1.96,4.51,1.85,1.55,0.62,3.83,2.03,10.52,1.11,1.4,32.03
1970,0,2.79,2.45,0.47,6.33,1.19,1.55,0.67,3.49,2.3,0,0.19,21.43
1971,0.05,1.03,0.21,1.38,1.88,2.07,0.73,16.64,2.05,5.75,1.05,1.64,34.48
1972,1.3,0.29,0.57,2.47,7.71,1.29,2.99,6.29,1.63,1.92,1.71,0.22,28.39
1973,2.1,1.96,1.83,1.92,0.82,7.57,5.89,1.5,4.2,5.1,0.4,0.04,33.33
1974,1.47,0.25,2.2,1.65,8.29,0.43,0.17,3.21,8.15,8.18,2.23,2.64,38.87
1975,0.71,2.94,0.5,2.66,9.51,3.15,2.75,1.19,2.07,2.25,0.7,0.86,29.29
1976,0.15,0.13,1.77,5.86,2.9,3.6,5.92,0.41,7.15,3.5,1.36,1.96,34.71
1977,1.77,0.72,1.32,7.13,2.02,2.58,0,0.15,0.66,3.93,2.82,0.47,23.57
1978,0.73,1.77,0.5,1.19,3.57,5.73,1.56,17.43,5.8,0.76,3.67,1.55,44.26
1979,1.53,3.06,6.96,4.2,2.45,5.92,5.01,6.48,0.65,1.16,1.96,2.93,42.31
1980,1.05,1.15,1.92,1.63,3.55,0.05,0.08,1.88,9.46,3.14,2.99,0.55,27.45
1981,1.21,1.05,5.75,3.16,2.62,10.39,1.58,1.92,3.77,9.12,0.64,0.3,41.51
1982,0.52,1.51,0.85,1.2,5.1,1.65,0.26,1.44,2.07,1.14,4.44,1.36,21.54
1983,0.81,2.68,2.35,0.27,4.02,4.67,1.77,0.63,1.7,3.19,2.92,0.13,25.14
1984,1.87,0.3,0.2,0.51,2.63,0.85,1.88,0.12,0.74,6.56,2.01,4.81,22.48
1985,1.78,1.89,2.87,1.22,5.65,2.68,2.91,0.12,5.98,5.86,4.22,0.85,36.03
1986,1.09,1.01,0.35,2.14,7.24,4.85,0.11,0.76,4.64,7.49,3.58,4.93,38.19
1987,0.98,3.08,1.57,0.72,9.51,9.27,5.19,4.53,1.58,0.41,3.14,2.15,42.13
1988,0.2,0.45,1.21,1.29,6.6,4.4,8.52,3.6,3.01,0.72,0.17,0.73,30.9
1989,5.11,2.38,2.24,1.2,1.83,2.71,0.11,0.62,1.11,4.71,0.87,0.27,23.16
1990,0.81,3.75,3.31,3.19,5.28,0,5.89,1.05,3.79,3.86,2.14,0.51,33.58
1991,3.2,1.73,0.8,2.74,3.48,2.58,2.62,1.5,8.95,3.16,1.59,12.17,44.52
1992,3.15,6.36,4.37,2.53,6.16,4.77,1.84,1.68,2.34,0.19,5.42,2.59,41.4
1993,1.46,2.12,2.13,2.95,2.9,2.75,0,0,4.1,2.01,1.69,0.95,23.06
1994,1.87,2.17,3.01,2.2,3.66,3.25,0.8,2.41,5.64,4.45,3.31,5.99,38.76
1995,1.15,0.46,2.66,1.79,6.49,4.67,0.93,0.08,5.06,0.78,2.77,1.42,28.26
1996,0.01,0.16,1.21,1.2,2,1.39,1.68,2.9,5.6,5.54,3.28,1.26,26.23
1997,0.86,4.62,2.87,5.8,4.57,9.92,0.49,0.27,0.38,3.67,1.98,2.27,37.7
1998,1.56,3.52,2.75,0.28,0.68,2.39,1.52,6.38,1.96,5.71,3.91,1.73,32.39
1999,0.05,0.03,3.19,1.36,3.23,2.98,2.96,0.24,0.97,2.33,0,0.42,17.76
2000,0.94,1.92,0.59,1.34,4.3,3.84,0.02,0.19,3.76,6.37,8.56,1.61,33.44
2001,3.05,1.62,2.86,1.74,2.72,0.34,0.07,3.14,6.51,3.03,3.15,1.94,30.17
2002,0.38,0.44,1.1,1.54,2.68,5.16,19.07,0.67,3.61,7.46,0.75,2.62,45.48
2003,0.7,2.47,1.34,0.21,0.67,5.98,3.24,1.78,2.57,4.21,0.59,0.16,23.92
2004,3.04,2,2.99,8.08,1.16,12.16,0.79,2.89,3.66,3.44,5.1,0.28,45.59
2005,2.86,2.8,1.66,1.46,4.63,1.24,2.75,2.03,3.27,1.91,1.91,0,26.52
2006,1.02,0.55,1.87,1.49,4.41,1.08,1.3,0.11,5.25,3,0.07,1.41,21.56
2007,3.27,0.11,9.65,2.42,9.81,7.68,6.91,6.05,2.76,1.02,1.06,0.36,51.1
2008,0.44,0.19,2.4,1.88,1.69,0.5,1.82,2.84,0.47,2.17,0.09,0.23,14.72
2009,0.62,0.05,3.7,2.96,2.32,0.97,2.8,0.24,9.21,5.27,3.29,1.29,32.72
2010,3.21,2.88,2.5,3.94,1.88,3.86,4.78,0.04,5.16,0.84,0.06,0.98,30.13
2011,1.3,0.56,0.07,0.94,1.17,0.78,0.16,0.21,2.06,0.79,2.06,3,13.1
2012,2.05,2.42,4.16,0.07,5.92,0.12,1.89,1.67,4.47,2,0,0.27,25.04
2013,2.83,0.13,0.55,2.55,4.97,2.45,1.1,1.93,3.44,3.54,1.73,0.77,25.99
2014,0.12,0.26,0.37,0.93,6.28,1.19,0.3,2.58,3.48,2.29,2.23,0.56,20.59
2015,2.42,0.65,1.82,2.61,11.05,4.38,0.02,0.6,0.49,4.58,4.12,2.04,34.78
2016,1.05,1,3.28,6.07,13.63,2.46,0.01,5.56,2.19,0.02,3.22,3.47,41.96
2017,2.42,4.26,1.79,1.35,1.59,2.4,0.44,6.27,3.85,0.23,0.43,2.28,27.31
2018,0.56,1.62,1.08,0.61,3.53,0.32,1.5,1.87,7.81,9.69,0.86,2.4,31.85
2019,0.89,0.26,1.28,3.18,4.91,4.77,0.47,1.01,0.76,1.64,0.65,0.23,20.05
2020,3.28,1.5,2.49,1.72,6.29,2.85,0.45,0.62,2.18,0.29,0.53,1.05,23.25
2021,1.17,1.83,0.87,1.55,5.29,2.84,4.05,2.71,1.56,4.49,1.13,0.24,27.73
2022,0.38,0.93,0.25,0.87,0.86,1.5,0.85,1.97,0.76,1.22,2.57,0.22,12.38
