property_id,transect,transect_lat,transect_long
Bandera_2022-35,A,29.89468,-99.31258
Bandera_2022-35,B,29.89189,-99.30843
Burnet_2022-16,A,30.77875,-98.38688
Edwards_2022-25,A,29.70531,-100.32535
Edwards_2022-25,B,29.70601,-100.32881
Hays-Travis_2022-02,A,30.30254,-98.09892
Hays-Travis_2022-02,B,30.30266,-98.09407
Kerr_2021-36,A,30.07374,-99.40951
Kerr_2021-36,B,30.07183,-99.4004
Kerr_2021-36,C,30.06606,-99.40034
Medina_2022-04,A,29.54762,-98.94047
Medina_2022-04,B,29.54614,-98.93807
Uvalde_2021-03,A,29.44956,-99.62778
Uvalde_2021-03,B,29.45071,-99.62942
